Koordinatensystem : Lambert konform konisch
Rechtswert        : 3943500 Meter
Hochwert          : 3036500 Meter
Hoehenlage        : 12 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
3943500 3036500  1  3  1  -3.8 1017 307  1.8 0  2.9  99    0    0 195 -302  0
3943500 3036500  1  3  2  -5.1 1018 301  1.7 0  2.7 100    0    0 191 -301  0
3943500 3036500  1  3  3  -4.6 1018 304  1.8 0  2.6  99    0    0 189 -300  0
3943500 3036500  1  3  4  -5.0 1018 300  1.4 1  2.6  98    0    0 193 -300  0
3943500 3036500  1  3  5  -5.5 1018 288  1.0 1  2.5  99    0    0 194 -300  0
3943500 3036500  1  3  6  -5.5 1018 263  0.9 1  2.5 100    0    0 191 -300  0
3943500 3036500  1  3  7  -5.5 1018 200  0.4 1  2.5  99    0    0 190 -301  0
3943500 3036500  1  3  8  -7.4 1018 206  0.3 1  2.3  99    0    0 186 -302  0
3943500 3036500  1  3  9  -7.3 1018 189  0.9 2  2.2 100    0    0 186 -303  0
3943500 3036500  1  3 10  -5.3 1018 258  1.4 3  2.3 100   26   27 196 -305  0
3943500 3036500  1  3 11  -3.0 1018 271  1.5 2  2.7  98  104   31 197 -308  0
3943500 3036500  1  3 12  -1.8 1018 271  1.6 3  3.1  98   68   74 198 -312  0
3943500 3036500  1  3 13  -0.3 1018 263  1.6 4  3.4  98   96   71 210 -314  0
3943500 3036500  1  3 14   0.2 1018 249  2.3 5  3.6  96   44   79 225 -315  0
3943500 3036500  1  3 15   0.0 1018 251  2.0 6  3.6  96    6   55 240 -316  0
3943500 3036500  1  3 16  -0.4 1018 248  2.3 5  3.6  96    0    6 243 -316  0
3943500 3036500  1  3 17  -0.5 1018 236  1.9 5  3.4  94    0    0 243 -316  0
3943500 3036500  1  3 18  -0.9 1017 252  2.6 5  3.4  95    0    0 247 -316  0
3943500 3036500  1  3 19  -1.0 1017 242  1.9 5  3.4  97    0    0 251 -316  0
3943500 3036500  1  3 20  -0.7 1017 239  1.9 5  3.4  96    0    0 259 -317  0
3943500 3036500  1  3 21  -0.6 1017 233  2.0 7  3.5  97    0    0 271 -318  0
3943500 3036500  1  3 22  -0.2 1016 234  1.9 7  3.6  98    0    0 282 -319  0
3943500 3036500  1  3 23   0.0 1016 231  2.0 7  3.6  96    0    0 286 -319  0
3943500 3036500  1  3 24   0.2 1016 230  1.9 7  3.6  95    0    0 289 -319  0
3943500 3036500  1  4  1   0.3 1016 229  2.6 7  3.7  96    0    0 291 -319  0
3943500 3036500  1  4  2   0.2 1016 232  2.8 6  3.7  96    0    0 289 -319  0
3943500 3036500  1  4  3   0.3 1015 230  2.7 6  3.7  97    0    0 288 -319  0
3943500 3036500  1  4  4   0.3 1015 220  3.0 7  3.8  98    0    0 292 -319  0
3943500 3036500  1  4  5   0.5 1015 230  3.7 7  3.8  97    0    0 295 -319  0
3943500 3036500  1  4  6   0.1 1014 222  3.6 7  3.8  98    0    0 295 -318  0
3943500 3036500  1  4  7   0.2 1014 217  3.0 8  3.8  99    0    0 295 -318  0
3943500 3036500  1  4  8   0.4 1013 209  3.6 8  3.8  99    0    0 297 -317  0
3943500 3036500  1  4  9   0.0 1013 200  3.4 7  3.8  98    0    0 293 -316  0
3943500 3036500  1  4 10   0.0 1013 205  4.2 7  3.7  98    1   33 290 -316  0
3943500 3036500  1  4 11   0.1 1013 191  4.4 7  3.7  98    0   36 287 -316  0
3943500 3036500  1  4 12   0.3 1013 191  5.0 7  3.7  96    0   27 284 -316  0
3943500 3036500  1  4 13   0.5 1012 193  5.5 7  3.7  94    0   32 281 -316  0
3943500 3036500  1  4 14   0.6 1012 200  5.2 7  3.6  91    0   33 280 -316  0
3943500 3036500  1  4 15   0.6 1011 209  5.4 6  3.6  91    0   37 276 -316  0
3943500 3036500  1  4 16   0.5 1011 210  5.8 7  3.6  92    0   13 275 -315  0
3943500 3036500  1  4 17   0.6 1011 202  5.5 7  3.5  89    0    0 275 -313  0
3943500 3036500  1  4 18   0.2 1011 210  5.9 7  3.3  86    0    0 273 -311  0
3943500 3036500  1  4 19   0.2 1011 203  6.3 7  3.2  83    0    0 271 -310  0
3943500 3036500  1  4 20   0.3 1011 206  5.7 7  3.2  82    0    0 270 -308  0
3943500 3036500  1  4 21   0.1 1010 203  5.3 8  3.1  82    0    0 271 -307  0
3943500 3036500  1  4 22   0.1 1010 199  5.9 8  3.2  82    0    0 273 -305  0
3943500 3036500  1  4 23   0.0 1010 198  6.0 8  3.2  83    0    0 273 -304  0
3943500 3036500  1  4 24  -0.4 1010 199  5.8 8  3.2  85    0    0 272 -303  0
3943500 3036500  1  5  1  -0.6 1010 199  5.7 6  3.2  87    0    0 267 -302  0
3943500 3036500  1  5  2  -0.8 1010 197  5.3 7  3.1  87    0    0 262 -300  0
3943500 3036500  1  5  3  -1.1 1010 196  4.8 7  3.1  86    0    0 264 -297  0
3943500 3036500  1  5  4  -1.5 1010 191  5.5 8  3.0  86    0    0 265 -296  0
3943500 3036500  1  5  5  -1.7 1009 191  5.0 8  2.9  86    0    0 266 -295  0
3943500 3036500  1  5  6  -2.0 1009 181  4.7 8  2.9  88    0    0 264 -293  0
3943500 3036500  1  5  7  -2.2 1009 181  5.3 8  2.8  87    0    0 261 -291  0
3943500 3036500  1  5  8  -2.6 1008 183  5.2 8  2.7  86    0    0 259 -288  0
3943500 3036500  1  5  9  -2.7 1008 182  5.1 8  2.7  86    0    0 256 -286  0
3943500 3036500  1  5 10  -2.8 1008 179  5.2 8  2.7  86    0   21 253 -285  0
3943500 3036500  1  5 11  -2.7 1008 170  4.7 7  2.6  85    0   46 248 -286  0
3943500 3036500  1  5 12  -2.5 1008 178  5.4 7  2.6  84    8   74 244 -288  0
3943500 3036500  1  5 13  -2.1 1008 178  5.1 6  2.7  83    8   81 241 -291  0
3943500 3036500  1  5 14  -2.0 1007 171  4.7 6  2.6  81   24   72 239 -292  0
3943500 3036500  1  5 15  -1.7 1007 171  4.9 7  2.6  79    5   48 242 -292  0
3943500 3036500  1  5 16  -2.1 1006 164  4.2 7  2.6  78   16   18 244 -289  0
3943500 3036500  1  5 17  -2.5 1005 162  4.0 7  2.6  80    0    0 243 -286  0
3943500 3036500  1  5 18  -2.4 1005 163  4.4 8  2.5  79    0    0 247 -283  0
3943500 3036500  1  5 19  -2.9 1004 162  3.5 7  2.5  80    0    0 249 -282  0
3943500 3036500  1  5 20  -3.5 1003 154  3.0 6  2.5  82    0    0 243 -281  0
3943500 3036500  1  5 21  -3.8 1003 162  3.2 6  2.4  83    0    0 242 -280  0
3943500 3036500  1  5 22  -4.0 1002 154  3.6 8  2.4  83    0    0 252 -278  0
3943500 3036500  1  5 23  -4.2 1000 162  3.4 8  2.4  83    0    0 261 -278  0
3943500 3036500  1  5 24  -4.2  999 160  4.0 7  2.3  83    0    0 261 -277  0
3943500 3036500  1  6  1  -3.4  998 155  4.0 8  2.4  82    0    0 265 -277  0
3943500 3036500  1  6  2  -3.4  996 161  3.9 6  2.6  87    0    0 267 -279  0
3943500 3036500  1  6  3  -2.5  995 161  3.9 5  3.0  95    0    0 260 -283  0
3943500 3036500  1  6  4  -1.2  994 172  4.1 6  3.3  98    0    0 265 -288  0
3943500 3036500  1  6  5  -0.4  994 178  4.6 7  3.6  98    0    0 282 -294  0
3943500 3036500  1  6  6   0.4  993 181  5.1 7  3.8  99    0    0 294 -300  0
3943500 3036500  1  6  7   1.1  993 188  5.0 8  4.0  99    0    0 305 -305  0
3943500 3036500  1  6  8   1.6  992 198  5.1 8  4.2  98    0    0 315 -309  0
3943500 3036500  1  6  9   1.8  993 211  4.6 8  4.3  99    0    1 317 -313  0
3943500 3036500  1  6 10   1.9  993 218  4.6 7  4.4  99    0   15 313 -316  0
3943500 3036500  1  6 11   1.7  993 210  4.2 5  4.4  99    0   48 289 -316  0
3943500 3036500  1  6 12   1.9  994 210  3.8 5  4.4 100    0   68 261 -316  0
3943500 3036500  1  6 13   1.9  994 208  3.2 6  4.4  99    0   60 256 -317  0
3943500 3036500  1  6 14   1.9  995 207  3.0 6  4.4 100    0   57 262 -318  0
3943500 3036500  1  6 15   2.0  995 194  3.1 6  4.4 100    0   47 260 -318  0
3943500 3036500  1  6 16   2.3  995 173  2.5 6  4.4  99    3   19 270 -318  0
3943500 3036500  1  6 17   2.0  995 170  2.3 7  4.4  99    0    0 291 -317  0
3943500 3036500  1  6 18   1.7  995 141  2.1 8  4.4 100    0    0 313 -317  0
3943500 3036500  1  6 19   1.9  994 144  1.6 7  4.4  99    0    0 314 -317  0
3943500 3036500  1  6 20   1.8  994 138  1.0 8  4.4  99    0    0 315 -316  0
3943500 3036500  1  6 21   1.3  994 117  1.0 8  4.3 100    0    0 323 -316  0
3943500 3036500  1  6 22   1.2  994  50  1.0 7  4.2 100    0    0 312 -316  0
3943500 3036500  1  6 23   1.3  994  89  0.9 7  4.2 100    0    0 301 -316  0
3943500 3036500  1  6 24   0.8  994 349  0.8 6  4.2 100    0    0 292 -316  0
3943500 3036500  1  7  1   0.7  995 280  2.0 6  4.1 100    0    0 286 -316  0
3943500 3036500  1  7  2   1.0  996 279  2.8 7  4.1 100    0    0 295 -316  0
3943500 3036500  1  7  3   1.3  998 284  3.6 8  4.2 100    0    0 313 -316  0
3943500 3036500  1  7  4   1.4 1000 254  3.0 7  4.2 100    0    0 312 -317  0
3943500 3036500  1  7  5   1.0 1001 244  3.2 6  4.2 100    0    0 297 -318  0
3943500 3036500  1  7  6   0.6 1002 236  2.6 5  4.0  99    0    0 281 -317  0
3943500 3036500  1  7  7   0.0 1003 241  2.2 4  3.9  99    0    0 265 -316  0
3943500 3036500  1  7  8  -0.5 1004 216  2.0 4  3.8 100    0    0 256 -315  0
3943500 3036500  1  7  9  -0.8 1005 204  1.6 5  3.6 100    0    1 261 -311  0
3943500 3036500  1  7 10  -0.7 1006 167  2.4 5  3.6 100    0   13 264 -308  0
3943500 3036500  1  7 11   0.3 1007 174  2.8 8  3.7  99    0   22 283 -308  0
3943500 3036500  1  7 12   0.5 1007 146  2.8 7  3.8  98    0   49 296 -311  0
3943500 3036500  1  7 13   0.4 1008 146  2.6 5  3.9  98   42   94 269 -314  0
3943500 3036500  1  7 14   0.5 1007 138  2.9 6  3.9  99   27   86 255 -316  0
3943500 3036500  1  7 15   0.9 1007 119  2.6 7  3.9  98    1   51 275 -316  0
3943500 3036500  1  7 16   0.6 1007 112  2.8 6  4.0  99    0   13 275 -316  0
3943500 3036500  1  7 17   0.8 1006 110  3.8 6  4.0 100    0    0 261 -316  0
3943500 3036500  1  7 18   1.0 1006 115  3.7 7  4.0  99    0    0 268 -314  0
3943500 3036500  1  7 19   1.4 1006 125  3.4 7  4.1  98    0    0 283 -312  0
3943500 3036500  1  7 20   1.5 1005 119  3.7 7  4.2  98    0    0 288 -312  0
3943500 3036500  1  7 21   1.6 1004 127  4.2 7  4.3 100    0    0 290 -312  0
3943500 3036500  1  7 22   1.6 1004 142  3.4 7  4.3 100    0    0 293 -312  0
3943500 3036500  1  7 23   2.0 1003 136  2.8 8  4.4 100    0    0 308 -313  0
3943500 3036500  1  7 24   2.2 1003 136  2.5 7  4.5 100    0    0 309 -314  0
3943500 3036500  1  8  1   2.1 1003 139  2.1 7  4.5 100    0    0 296 -315  0
3943500 3036500  1  8  2   3.0 1003 162  2.4 6  4.6 100    0    0 285 -316  0
3943500 3036500  1  8  3   3.6 1002 170  2.6 8  4.9 100    0    0 306 -316  0
3943500 3036500  1  8  4   4.0 1002 155  2.2 8  5.0 100    0    0 331 -316  0
3943500 3036500  1  8  5   4.5 1002 162  2.8 8  5.2 100    0    0 332 -317  0
3943500 3036500  1  8  6   4.8 1001 172  3.6 7  5.3 100    0    0 323 -318  0
