     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3943500 3036500  1  2 22   0.1 1022  91  3.6 5  3.2  84    0    0 243 -308  2
3943500 3036500  1  2 23   0.2 1022  80  4.7 5  3.2  84    0    0 248 -307  2
3943500 3036500  1  2 24  -0.3 1021  89  4.5 6  3.1  82    0    0 252 -306  2
3943500 3036500  1  3  1  -0.4 1021  90  5.4 8  2.9  80    0    0 267 -305  2
3943500 3036500  1  3  2  -0.7 1020  85  5.0 7  2.9  79    0    0 272 -303  2
3943500 3036500  1  3  3  -0.7 1020  89  5.6 6  2.8  79    0    0 263 -300  2
3943500 3036500  1  3  4  -1.3 1019  85  5.8 7  2.8  79    0    0 262 -299  2
3943500 3036500  1  3  5  -2.0 1019  95  6.3 8  2.6  79    0    0 270 -298  2
3943500 3036500  1  3  6  -2.9 1018  98  5.6 8  2.5  79    0    0 271 -298  2
3943500 3036500  1  3  7  -3.4 1018  96  5.8 8  2.4  79    0    0 269 -298  2
3943500 3036500  1  3  8  -3.6 1017  90  6.9 8  2.3  79    0    0 267 -299  2
3943500 3036500  1  3  9  -3.4 1017  96  6.2 8  2.3  79    0    0 265 -298  2
3943500 3036500  1  3 10  -3.4 1017  90  6.2 8  2.3  79    0   13 264 -297  2
3943500 3036500  1  3 11  -3.2 1017  82  6.4 8  2.4  80    0   26 267 -296  2
3943500 3036500  1  3 12  -3.2 1017  89  6.1 8  2.4  82    0   32 269 -296  2
3943500 3036500  1  3 13  -3.0 1016  88  5.7 8  2.4  82    0   33 269 -297  2
3943500 3036500  1  3 14  -2.9 1016  86  6.4 8  2.5  81    0   32 271 -298  2
3943500 3036500  1  3 15  -2.9 1015  83  6.5 7  2.5  81    4   39 268 -297  2
3943500 3036500  1  3 16  -2.9 1015  87  5.9 7  2.5  81    0    5 265 -295  2
3943500 3036500  1  3 17  -2.7 1015  85  6.0 8  2.5  80    0    0 270 -293  2
3943500 3036500  1  3 18  -2.8 1015  96  6.5 8  2.4  79    0    0 274 -291  2
3943500 3036500  1  3 19  -2.7 1015 102  6.2 8  2.4  78    0    0 273 -291  2
3943500 3036500  1  3 20  -2.7 1015 100  6.5 8  2.4  79    0    0 273 -290  2
3943500 3036500  1  3 21  -2.9 1015 100  6.5 8  2.4  80    0    0 274 -289  2
3943500 3036500  1  3 22  -2.6 1015 101  6.9 8  2.4  79    0    0 274 -288  2
3943500 3036500  1  3 23  -2.8 1015  97  5.6 7  2.5  80    0    0 267 -288  2
3943500 3036500  1  3 24  -2.7 1015  93  5.9 6  2.5  80    0    0 257 -287  2
3943500 3036500  1  4  1  -2.9 1016  95  6.4 7  2.5  80    0    0 257 -288  2
3943500 3036500  1  4  2  -3.2 1016  95  6.5 8  2.4  80    0    0 262 -288  2
3943500 3036500  1  4  3  -3.4 1016 103  6.0 7  2.4  81    0    0 258 -288  2
3943500 3036500  1  4  4  -3.7 1016  98  6.5 7  2.3  80    0    0 251 -288  2
3943500 3036500  1  4  5  -3.7 1016 103  6.8 7  2.3  79    0    0 249 -288  2
3943500 3036500  1  4  6  -3.8 1016  99  6.9 7  2.2  77    0    0 249 -288  2
3943500 3036500  1  4  7  -4.1 1016 100  6.5 6  2.2  77    0    0 243 -289  2
3943500 3036500  1  4  8  -4.5 1016 107  5.7 6  2.1  76    0    0 237 -289  2
3943500 3036500  1  4  9  -4.6 1016  99  6.0 6  2.0  76    0    0 235 -289  2
3943500 3036500  1  4 10  -4.8 1016  99  6.4 7  2.0  75    0   19 238 -290  2
3943500 3036500  1  4 11  -4.7 1016 101  6.0 7  2.0  74    0   31 244 -292  2
3943500 3036500  1  4 12  -4.3 1016 107  6.2 6  2.0  73    3   84 242 -295  2
3943500 3036500  1  4 13  -4.0 1015 101  6.0 6  2.0  72   11  115 238 -297  2
3943500 3036500  1  4 14  -3.7 1015 107  5.3 5  2.0  71   15  112 233 -299  2
3943500 3036500  1  4 15  -3.8 1014 106  5.3 7  2.0  72    0   43 238 -300  2
3943500 3036500  1  4 16  -3.7 1014 108  5.0 8  2.1  72    0   12 253 -299  2
3943500 3036500  1  4 17  -3.7 1014 112  5.5 8  2.1  72    0    0 257 -297  2
3943500 3036500  1  4 18  -3.9 1014 105  5.7 7  2.1  72    0    0 252 -296  2
3943500 3036500  1  4 19  -4.0 1013 114  5.4 8  2.1  73    0    0 252 -295  2
3943500 3036500  1  4 20  -4.0 1013 124  5.7 7  2.1  73    0    0 254 -294  2
3943500 3036500  1  4 21  -4.0 1013 114  5.7 6  2.1  74    0    0 243 -293  2
3943500 3036500  1  4 22  -3.9 1012 106  5.2 7  2.1  75    0    0 246 -292  2
3943500 3036500  1  4 23  -3.7 1011 115  5.5 7  2.2  75    0    0 252 -292  2
3943500 3036500  1  4 24  -3.4 1010 114  5.9 7  2.2  76    0    0 254 -292  2
3943500 3036500  1  5  1  -3.2 1009 114  5.8 8  2.3  76    0    0 262 -293  2
3943500 3036500  1  5  2  -2.8 1008 121  5.4 8  2.3  76    0    0 270 -293  2
3943500 3036500  1  5  3  -2.6 1008 121  5.1 8  2.4  77    0    0 272 -294  2
3943500 3036500  1  5  4  -2.4 1007 120  4.9 7  2.5  77    0    0 267 -295  2
